"IBM.open"	"IBM.high"	"IBM.low"	"IBM.close"	"IBM.adjclose"	"IBM.volume"
"364"	123.849998	125.089996	123.129997	123.849998	90.177162	6748600
"365"	124.419998	126.57	124.150002	126.150002	91.85186	6379600
"366"	125.459999	127.139999	124.650002	126.709999	92.259583	6280200
"367"	127.099998	127.099998	124.620003	125.099998	91.087349	5277900
"368"	124.550003	125.43	123.699997	124.160004	90.402924	6614700
"369"	123.669998	125.620003	122.360001	125.019997	91.029068	7570200
"370"	124.809998	125.019997	122.5	122.739998	89.368965	9624900
"371"	123	124.5	122.400002	123.459999	89.893211	5852300
"372"	123.080002	124.25	121.900002	123.459999	89.893211	7552900
"373"	123.669998	125.830002	123.199997	124.580002	90.708702	7131500
"374"	123.43	123.82	120.760002	121.129997	88.196724	9710600
"375"	121.019997	122.050003	118.260002	120.050003	87.410316	11660400
"376"	120.029999	120.220001	118.150002	118.529999	86.303596	8439000
"377"	117.5	119.360001	116.599998	119.269997	86.842392	10069400
"378"	118.410004	120.550003	118.120003	119.099998	86.718605	8093200
"379"	119.949997	120.779999	117.889999	119.540001	87.038994	6115200
"380"	119.620003	122.639999	119.620003	121.5	88.466133	9131100
"381"	120.550003	123.989998	120.550003	123.879997	90.199043	9813300
"382"	124.209999	124.5	120.400002	120.400002	87.665192	9506700
"383"	120.660004	123.540001	120.660004	123.18	89.689354	10053600
"384"	121.800003	123.739998	120.57	122.120003	88.917542	8841400
"385"	123.510002	124.25	121.239998	121.540001	88.495224	8317400
"386"	121	124.5	119.900002	123.199997	89.703903	10710500
"387"	122.809998	126.889999	122.25	125.940002	91.698952	9898800
"388"	126.389999	126.959999	124	126.519997	92.121239	12298200
"389"	125.809998	130	125.419998	129.889999	94.575005	18317800
"390"	129.830002	129.899994	127.639999	128.660004	93.67942	7779600
"391"	127.5	130	127.260002	130	94.65509	11428600
"392"	129.779999	130.330002	128.289993	129.520004	94.305618	10230300
"393"	129.059998	130.929993	128.800003	130	94.65509	8946300
"394"	129	129.899994	128	128.529999	93.58477	7565500
"395"	127.690002	128.440002	126.129997	126.25	91.924652	6096800
"396"	126.540001	128.169998	126.25	127.660004	92.951317	5979400
"397"	128.119995	129	127.089996	128.860001	93.825073	5826100
"398"	128.100006	129.5	127.739998	127.980003	93.184296	5857300
"399"	128.520004	129.300003	126.279999	126.639999	92.208618	4939700
"400"	126.769997	128.100006	126.25	127.559998	92.878502	5994900
"401"	128.199997	128.899994	127.080002	128.869995	93.832314	6969900
"402"	128.449997	129.5	127.75	129.160004	94.409798	6253800
"403"	128.300003	129.970001	127.900002	129.050003	94.329376	6633500
"404"	128.5	129.880005	127.629997	128.809998	94.153969	8561800
"405"	128.429993	128.429993	125.75	126.599998	92.538544	7490400
"406"	126.010002	126.5	124.400002	125.220001	91.529823	6996800
"407"	125	126.989998	124.75	125.800003	91.953773	5857800
"408"	125.010002	128.25	124.800003	126.940002	92.787064	6813000
"409"	127.07	127.190002	125.349998	126.360001	92.363121	5566200
"410"	126.489998	127	123.68	124.589996	91.069336	5970000
"411"	123.629997	124.790001	122.010002	122.559998	89.585472	9311600
"412"	123.5	123.970001	122.010002	122.510002	89.548935	6871600
"413"	121.580002	123.43	121.550003	122.989998	89.899803	6315000
"414"	123.300003	125.349998	122.800003	124.93	91.317871	5989200
"415"	124.480003	124.93	122.699997	122.860001	89.804764	5827400
"416"	122.580002	122.849998	121.5	122.5	89.541649	6218200
"417"	122.419998	124.849998	122.18	123.379997	90.184875	5843800
"418"	124.059998	125.449997	123.580002	124.580002	91.062012	5448200
"419"	123.709999	123.989998	121.629997	121.730003	88.97879	7156000
"420"	122.870003	124	117.900002	118.410004	86.552063	11749800
"421"	118.339996	118.650002	115.150002	118.339996	86.500877	11316600
"422"	117.989998	118.900002	114.900002	115	84.059502	10133800
"423"	114.150002	115.089996	113.169998	114.330002	83.569756	8811400
"424"	118	118.279999	115.139999	117.290001	85.733383	10452800
"425"	117.779999	118.099998	115	115.040001	84.088745	8106300
"426"	116.400002	119.949997	116.099998	118.040001	86.28157	11852200
"427"	116.599998	119.370003	116.110001	119.199997	87.129478	9737400
